state,university_college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_2,rape_legacy_definition_3,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson4
,Tufts University:,Medford,11137,7,false,4,,2,1,74,19,55,0,1
,,Suffolk5,,1,false,1,,0,0,23,2,21,0,0
,,Worcester5,,0,false,0,,0,0,5,3,2,0,0
,University of Massachusetts: ,Amherst,29269,14,false,2,,2,10,229,13,215,1,4
,,Dartmouth,8916,17,false,8,,0,9,77,5,68,4,
,,"Harbor Campus, Boston",17030,2,false,0,,0,2,75,2,72,1,0
,,"Medical Center, Worcester",1079,21,false,0,,0,21,64,1,60,3,1
,Wellesley College,,2510,1,false,0,,0,1,28,4,24,0,
,Wentworth Institute of Technology,,4576,4,false,0,,1,3,56,6,50,0,
,Western New England University,,3912,5,false,5,,0,0,52,1,50,1,
,Westfield State University,,6496,2,false,2,,0,0,25,1,24,0,1
,Worcester Polytechnic Institute,,6573,0,false,0,,0,0,35,4,31,0,0
MICHIGAN,Central Michigan University,,26825,5,false,5,,0,0,83,0,82,1,0
,Delta College,,9291,0,false,0,,0,0,11,0,11,0,0
,Eastern Michigan University,,21824,19,false,11,,3,5,150,5,139,6,4
,Ferris State University,,14715,5,false,1,,0,4,38,6,32,0,0
,Grand Rapids Community College,,14926,0,false,0,,0,0,71,2,69,0,0
,Grand Valley State University,,25325,8,false,5,,1,2,134,6,126,2,0
,Kalamazoo Valley Community College,,8836,2,false,1,,1,0,27,0,27,0,0
,Kellogg Community College,,5081,0,false,0,,0,0,10,0,10,0,0
,Lansing Community College,,14851,1,false,0,,0,1,37,0,36,1,0
,Macomb Community College,,22182,0,false,0,,0,0,21,1,20,0,0
,Michigan State University,,50538,38,false,15,,10,13,578,65,487,26,0
,Michigan Technological University,,7218,1,false,1,,0,0,50,0,50,0,0
,Mott Community College,,8617,2,false,1,,0,1,36,3,33,0,0
,Northern Michigan University,,8303,4,false,3,,0,1,85,3,82,0,0
,Oakland Community College,,21061,0,false,0,,0,0,27,1,26,0,0
,Oakland University,,20261,0,false,0,,0,0,37,3,33,1,0
,Saginaw Valley State University,,9633,4,false,3,,0,1,48,0,48,0,0
,Schoolcraft College,,11687,0,false,0,,0,0,14,0,14,0,0
,University of Michigan: ,Ann Arbor,43651,13,false,5,,2,6,534,12,518,4,3
,,Dearborn,9066,0,false,0,,0,0,31,1,19,11,0
,,Flint,8470,1,false,1,,0,0,59,0,58,1,0
,Western Michigan University,,23529,16,false,7,,3,6,150,2,148,0,2
MINNESOTA,University of Minnesota:,Duluth,10878,5,false,3,,1,1,55,6,48,1,0
,,Morris,1856,0,false,0,,0,0,8,2,6,0,0
,,Twin Cities,50678,8,false,2,,4,2,485,23,452,10,0
MISSISSIPPI,Coahoma Community College,,2148,1,false,0,,1,0,16,12,3,1,0
,Jackson State University,,9802,17,false,3,,8,6,221,36,179,6,0
,Mississippi State University,,20873,7,false,4,,0,3,165,14,149,2,0
,Northeast Mississippi Community College,,3569,1,false,0,,0,1,29,0,29,0,0
,University of Mississippi: ,Medical Center5,,1,false,,0,0,1,112,0,109,3,0
,,Oxford,23212,6,false,,5,0,1,160,11,148,1,0
MISSOURI,Jefferson College,,4705,0,false,0,,0,0,2,0,2,0,0
,Lincoln University,,2944,10,false,3,,0,7,60,14,46,0,0
,Metropolitan Community College,,17821,1,false,0,,0,1,30,2,24,4,0
,Mineral Area College,,4388,0,false,0,,0,0,1,1,0,0,0
,Missouri Southern State University,,5783,2,false,2,,0,0,29,10,18,1,0
,Missouri University of Science and Technology,,8886,3,false,1,,0,2,56,7,47,2,1
,Missouri Western State University,,5513,2,false,2,,0,0,15,2,11,2,0
,Northwest Missouri State University,,6593,4,false,3,,1,0,36,3,33,0,0
,Southeast Missouri State University,,11987,7,false,4,,0,3,36,4,31,1,0
,St. Charles Community College,,6865,0,false,0,,0,0,11,0,11,0,0
,St. Louis Community College: ,Florissant Valley5,,2,false,0,,0,2,18,0,18,0,0
,,Meramec,18902,0,false,0,,0,0,22,1,21,0,0
,Truman State University,,6208,2,false,1,,0,1,51,3,48,0,0
,University of Central Missouri,,14395,25,false,12,,2,11,146,10,135,1,0
,University of Missouri: ,Columbia,35424,9,false,7,,0,2,228,4,218,6,0
,,Kansas City,16685,5,false,1,,3,1,64,15,45,4,0
,,St. Louis,16738,5,false,3,,2,0,80,3,76,1,0
,Washington University,,14688,4,false,0,,1,3,90,1,88,1,0
MONTANA,Montana State University,,15236,12,false,8,,0,4,212,13,193,6,5
,University of Montana,,13044,6,false,1,,1,4,127,3,122,2,1
NEBRASKA,Metropolitan Community College,Douglas County,14812,2,false,0,,0,2,32,0,32,0,0
,University of Nebraska:,Kearney,6747,4,false,4,,0,0,29,2,27,0,0
,,Lincoln,25260,15,false,11,,1,3,187,6,175,6,1
NEVADA,College of Southern Nevada,,33313,0,false,0,,0,0,25,9,7,9,0
,University of Nevada:,Las Vegas,28600,11,false,2,,4,5,279,12,214,53,1
,,Reno,20898,1,false,1,,0,0,179,11,161,7,0
NEW HAMPSHIRE,University of New Hampshire,,15351,26,false,25,,0,1,105,4,101,0,0
NEW JERSEY,Brookdale Community College,,13835,0,false,0,,0,0,23,1,22,0,0
,Essex County College,,10954,1,false,0,,1,0,48,1,47,0,0
,Kean University,,14112,1,false,0,,1,0,128,6,119,3,0
,Middlesex County College,,11662,0,false,0,,0,0,17,0,17,0,0
,Monmouth University,,6394,1,false,0,,1,0,45,0,42,3,0
,Montclair State University,,20465,3,false,0,,0,3,84,1,82,1,0
,New Jersey Institute of Technology,,11325,6,false,3,,3,0,101,8,89,4,0
,Princeton University,,8138,8,false,3,,5,0,274,28,232,14,0
,Rowan University,,16155,8,false,6,,0,2,210,65,144,1,0
,Rutgers University: ,Camden,6408,7,false,0,,3,4,80,4,74,2,0
,,Newark,11720,10,false,1,,7,2,256,9,242,5,0
,,New Brunswick,49428,29,false,11,,2,16,542,60,482,0,1
,Stevens Institute of Technology,,6359,0,false,0,,0,0,17,1,16,0,0
,Stockton University,,8674,2,false,2,,0,0,39,0,39,0,0
,The College of New Jersey,,7406,1,false,1,,0,0,91,23,62,6,1
,William Paterson University,,10862,0,false,0,,0,0,63,4,59,0,0
NEW MEXICO,Eastern New Mexico University,,5725,5,false,,3,0,2,46,9,37,0,
