metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
"Lexington-Fayette, KY M.S.A.",,505664, ,,,,, ,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington,317853,1079,24,200,575,280,13058,2435,9465,1158
,Total area actually reporting,1,1335,25,262,667,381,18168,3439,13293,1436
,"Rate per 100,000 inhabitants",,264,4.9,51.8,131.9,75.3,3592.9,680.1,2628.8,284
"Lima, OH M.S.A.",,103900, ,,,,, ,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,37715,356,8,44,123,181,2259,602,1540,117
,Total area actually reporting,0.967,400,8,55,141,196,3652,894,2599,159
,Estimated total,1,405,8,56,143,198,3729,907,2660,162
,"Rate per 100,000 inhabitants",,389.8,7.7,53.9,137.6,190.6,3589,873,2560.2,155.9
"Lincoln, NE M.S.A.",,327353, ,,,,, ,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,281138,1006,10,222,191,583,8730,1261,7117,352
,Total area actually reporting,0.994,1052,10,244,192,606,9202,1345,7477,380
,Estimated total,1,1055,10,245,192,608,9244,1349,7511,384
,"Rate per 100,000 inhabitants",,322.3,3.1,74.8,58.7,185.7,2823.9,412.1,2294.5,117.3
"Little Rock-North Little Rock-Conway, AR M.S.A.4",,737086,,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,
,City of Little Rock,198800,3044,42,159,657,2186,13714,2348,10223,1143
,City of North Little Rock,67344,503,11,11,115,366,2926,523,2016,387
,City of Conway,66104,335,5,43,84,203,2970,343,2429,198
,Total area actually reporting,1,5602,74,437,1008,4083,,,22971,2798
,"Rate per 100,000 inhabitants",,760,10,59.3,136.8,553.9,,,3116.5,379.6
"Logan, UT-ID M.S.A.",,135889, ,,,,, ,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT",50767,50,1,12,5,32,844,120,685,39
,Total area actually reporting,1,90,2,35,8,45,1481,243,1155,83
,"Rate per 100,000 inhabitants",,66.2,1.5,25.8,5.9,33.1,1089.9,178.8,850,61.1
"Longview, WA M.S.A.",,104085,,,,,,,,,
,Includes Cowlitz County,, ,,,,,,,,
,City of Longview,36854,142,0,41,40,61,1927,409,1314,204
,Total area actually reporting,1,279,2,68,58,151,3448,712,2376,360
,"Rate per 100,000 inhabitants",,268.1,1.9,65.3,55.7,145.1,3312.7,684.1,2282.7,345.9
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",,13350144,,,,,,,,,
,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale ,,,,,,,,,,
,City of Los Angeles,4007905,28817,293,2343,10307,15874,99151,15821,64739,18591
,City of Long Beach,476476,2846,33,197,1138,1478,14224,2988,8377,2859
,City of Anaheim,353504,1209,7,123,390,689,9617,1469,6764,1384
,City of Santa Ana,337419,1612,23,142,511,936,6980,1119,3913,1948
,City of Irvine,266663,152,3,41,52,56,3737,640,2918,179
,City of Glendale,202903,227,1,38,84,104,3450,596,2491,363
,City of Torrance,149078,258,1,28,119,110,3221,458,2326,437
,City of Pasadena,143288,477,2,46,164,265,3446,861,2261,324
,City of Orange,141841,228,1,25,57,145,2608,464,1783,361
,City of Costa Mesa,113816,412,1,60,145,206,4610,735,3296,579
,City of Burbank,105720,210,0,24,50,136,2927,392,2269,266
,City of Carson,93613,505,10,23,165,307,2424,439,1463,522
,City of Santa Monica,93921,475,2,40,189,244,4039,623,3180,236
,City of Newport Beach,87482,110,1,34,17,58,2241,437,1644,160
,City of Tustin,81642,120,2,13,34,71,1806,229,1412,165
,City of Monterey Park,61710,131,1,8,59,63,1704,460,998,246
,City of Gardena,60770,338,3,24,160,151,1482,355,772,355
,City of Arcadia,58816,83,2,4,44,33,1642,520,1045,77
,City of Fountain Valley,57291,63,0,0,21,42,1443,246,1072,125
,Total area actually reporting,1,63646,679,4968,22288,35711,318559,58004,204522,56033
,"Rate per 100,000 inhabitants",,476.7,5.1,37.2,166.9,267.5,2386.2,434.5,1532,419.7
"Anaheim-Santa Ana-Irvine, CA M.D.",,3179276,,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,1,7275,57,810,2136,4272,66054,11025,46507,8522
,"Rate per 100,000 inhabitants",,228.8,1.8,25.5,67.2,134.4,2077.6,346.8,1462.8,268
"Los Angeles-Long Beach-Glendale, CA M.D.",,10170868,,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,1,56371,622,4158,20152,31439,252505,46979,158015,47511
,"Rate per 100,000 inhabitants",,554.2,6.1,40.9,198.1,309.1,2482.6,461.9,1553.6,467.1
"Louisville/Jefferson County, KY-IN M.S.A.",,1285169, ,,,,, ,,,
,"Includes Clark, Floyd, Harrison, Scott, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY",683825,4621,119,196,1514,2792,30254,5907,19983,4364
,Total area actually reporting,0.942,5502,131,291,1787,3293,42026,7908,28544,5574
,Estimated total,1,5627,134,305,1807,3381,43168,8132,29361,5675
,"Rate per 100,000 inhabitants",,437.8,10.4,23.7,140.6,263.1,3358.9,632.8,2284.6,441.6
"Lubbock, TX M.S.A.2",,314167, ,,,,, ,,,
,"Includes Crosby, Lubbock, and Lynn Counties",,,,,,,,,,
,City of Lubbock,252900,2741,6,177,471,2087,12661,2678,8933,1050
,Total area actually reporting,0.988,2894,9,200,488,2197,14117,2983,9980,1154
,Estimated total,1,2904,9,202,490,2203,14210,2998,10051,1161
,"Rate per 100,000 inhabitants",,924.3,2.9,64.3,156,701.2,4523.1,954.3,3199.3,369.5
"Lynchburg, VA M.S.A.",,259926, ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,
,City of Lynchburg,80215,298,2,33,57,206,1802,262,1428,112
,Total area actually reporting,1,530,12,83,78,357,3739,546,2995,198
,"Rate per 100,000 inhabitants",,203.9,4.6,31.9,30,137.3,1438.5,210.1,1152.3,76.2
"Macon-Bibb County, GA M.S.A.",,229434, ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,Total area actually reporting,0.996,872,18,61,279,514,9457,2289,6452,716
,Estimated total,1,876,18,61,280,517,9496,2295,6482,719
,"Rate per 100,000 inhabitants",,381.8,7.8,26.6,122,225.3,4138.9,1000.3,2825.2,313.4
"Madera, CA M.S.A.",,154726, ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,64753,505,3,22,98,382,1859,297,1262,300
,Total area actually reporting,1,1024,7,51,124,842,3705,978,2155,572
,"Rate per 100,000 inhabitants",,661.8,4.5,33,80.1,544.2,2394.6,632.1,1392.8,369.7
"Madison, WI M.S.A.2",,647587, ,,,,, ,,,
,"Includes Columbia, Dane, Green, and Iowa Counties",,,,,,,,,,
,City of Madison,252136,832,8,125,235,464,6932,1014,5544,374
,Total area actually reporting,0.988,1304,13,198,309,784,12263,1720,9959,584
,Estimated total,1,1313,13,199,311,790,12406,1736,10080,590
,"Rate per 100,000 inhabitants",,202.8,2,30.7,48,122,1915.7,268.1,1556.5,91.1
"Manchester-Nashua, NH M.S.A.",,408233,,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,110353,742,5,69,205,463,3010,456,2408,146
,City of Nashua,88252,151,0,48,26,77,1218,122,1039,57
,Total area actually reporting,0.987,1089,5,160,248,676,6162,846,5031,285
,Estimated total,1,1096,5,162,249,680,6228,855,5085,288
,"Rate per 100,000 inhabitants",,268.5,1.2,39.7,61,166.6,1525.6,209.4,1245.6,70.5
"Manhattan, KS M.S.A.",,99113,,,,,,,,,
,Includes Pottawatomie and Riley Counties,, ,,,,,,,,
,Total area actually reporting,1,257,1,49,22,185,1607,250,1268,89
,"Rate per 100,000 inhabitants",,259.3,1,49.4,22.2,186.7,1621.4,252.2,1279.3,89.8
"Mankato-North Mankato, MN M.S.A.",,99481,,,,,,,,,
,Includes Blue Earth and Nicollet Counties,, ,,,,,,,,
,City of Mankato,41300,112,1,27,23,61,1329,223,1057,49
,City of North Mankato,13553,7,0,0,0,7,149,30,116,3
,Total area actually reporting,1,153,2,37,26,88,1878,368,1432,78
,"Rate per 100,000 inhabitants",,153.8,2,37.2,26.1,88.5,1887.8,369.9,1439.5,78.4
"Mansfield, OH M.S.A.",,121064,,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,46656,209,3,58,63,85,2605,679,1805,121
,Total area actually reporting,0.993,290,6,90,73,121,4437,1205,3084,148
,Estimated total,1,291,6,90,73,122,4457,1208,3100,149
,"Rate per 100,000 inhabitants",,240.4,5,74.3,60.3,100.8,3681.5,997.8,2560.6,123.1
"McAllen-Edinburg-Mission, TX M.S.A.2",,853003,,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,142227,215,3,40,65,107,4470,331,4022,117
,City of Edinburg,86535,354,3,61,51,239,4183,545,3481,157
,City of Mission,84380,120,0,36,40,44,2179,358,1707,114
,Total area actually reporting,0.993,2505,22,417,444,1622,24130,3939,19095,1096
,Estimated total,1,2522,22,420,448,1632,24276,3962,19207,1107
,"Rate per 100,000 inhabitants",,295.7,2.6,49.2,52.5,191.3,2845.9,464.5,2251.7,129.8
"Medford, OR M.S.A.",,215751, ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,80794,407,1,31,115,260,5688,486,4793,409
,Total area actually reporting,1,772,5,73,150,544,9339,1067,7602,670
,"Rate per 100,000 inhabitants",,357.8,2.3,33.8,69.5,252.1,4328.6,494.6,3523.5,310.5
"Memphis, TN-MS-AR M.S.A.",,1346931, ,,,,, ,,,
,"Includes Crittenden County, AR; Benton, DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN",656434,11947,196,534,3188,8029,36988,9150,24604,3234
,Total area actually reporting,0.973,14524,248,730,3618,9928,51468,12430,34899,4139
,Estimated total,1,14575,249,736,3628,9962,52102,12585,35333,4184
,"Rate per 100,000 inhabitants",,1082.1,18.5,54.6,269.4,739.6,3868.2,934.3,2623.2,310.6
"Merced, CA M.S.A.",,268999, ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,83106,489,1,35,134,319,2774,558,1617,599
,Total area actually reporting,1,1488,6,79,238,1165,7658,1830,4395,1433
,"Rate per 100,000 inhabitants",,553.2,2.2,29.4,88.5,433.1,2846.9,680.3,1633.8,532.7
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",,6113688,,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Delray Beach",,,,,,,,,,
,City of Miami,449469,3989,55,90,1443,2401,18974,2643,14335,1996
,City of Fort Lauderdale,181218,1144,18,71,483,572,10630,1856,7856,918
,City of West Palm Beach,108074,954,10,71,333,540,5599,946,4100,553
,City of Pompano Beach,109362,931,7,77,344,503,5205,903,3738,564
,City of Miami Beach,93165,940,7,57,345,531,8419,603,7251,565
,City of Boca Raton,94931,239,1,22,105,111,2495,507,1831,157
,City of Deerfield Beach,80713,277,2,33,93,149,2193,376,1597,220
,City of Delray Beach,67400,387,5,31,125,226,2842,385,2218,239
,City of Jupiter,64273,147,0,15,40,92,1261,163,1038,60
,Total area actually reporting,1,29720,355,1866,9299,18200,196533,28357,150604,17572
,"Rate per 100,000 inhabitants",,486.1,5.8,30.5,152.1,297.7,3214.6,463.8,2463.4,287.4
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,1930253,,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,1,7550,81,559,2715,4195,58871,8813,44436,5622
,"Rate per 100,000 inhabitants",,391.1,4.2,29,140.7,217.3,3049.9,456.6,2302.1,291.3
"Miami-Miami Beach-Kendall, FL M.D.",,2737194,,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,1,15635,198,796,4831,9810,95584,11774,75242,8568
,"Rate per 100,000 inhabitants",,571.2,7.2,29.1,176.5,358.4,3492,430.1,2748.9,313
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",,1446241,,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,1,6535,76,511,1753,4195,42078,7770,30926,3382
,"Rate per 100,000 inhabitants",,451.9,5.3,35.3,121.2,290.1,2909.5,537.3,2138.4,233.8
"Michigan City-La Porte, IN M.S.A.",,110541, ,,,,, ,,,
,Includes La Porte County,,,,,,,,,,
,City of Michigan City,31459,186,2,19,50,115,1444,213,1131,100
,City of La Porte,21891,93,0,9,20,64,765,145,576,44
,Total area actually reporting,0.958,320,2,34,76,208,2814,608,2021,185
,Estimated total,1,333,2,35,79,217,2943,623,2126,194
,"Rate per 100,000 inhabitants",,301.2,1.8,31.7,71.5,196.3,2662.4,563.6,1923.3,175.5
"Midland, MI M.S.A.",,83588, ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,42263,48,0,17,5,26,511,77,424,10
,Total area actually reporting,1,107,1,44,6,56,887,203,654,30
,"Rate per 100,000 inhabitants",,128,1.2,52.6,7.2,67,1061.2,242.9,782.4,35.9
"Midland, TX M.S.A.",,171699, ,,,,, ,,,
,Includes Martin and Midland Counties,,,,,,,,,,
,City of Midland,137780,412,3,24,93,292,3352,604,2563,185
,Total area actually reporting,1,511,3,29,102,377,4285,777,3222,286
,"Rate per 100,000 inhabitants",,297.6,1.7,16.9,59.4,219.6,2495.6,452.5,1876.5,166.6
"Milwaukee-Waukesha-West Allis, WI M.S.A.2",,1577025,,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,600193,9201,141,477,3283,5300,24392,5862,12356,6174
,City of Waukesha,72223,92,0,31,14,47,1117,182,891,44
,City of West Allis2,60558,200,6,20,76,98,2262,451,1609,202
,Total area actually reporting,1,10345,156,638,3661,5890,42858,8074,27545,7239
,"Rate per 100,000 inhabitants",,656,9.9,40.5,232.1,373.5,2717.6,512,1746.6,459
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",,3555186,,,,,,,,,
,"Includes Anoka, Carver,2 Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Sibley, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN",416751,4622,35,455,1844,2288,17594,3424,12183,1987
,"City of St. Paul, MN",303920,1970,19,184,700,1067,9811,2278,5659,1874
,"City of Bloomington, MN",87134,177,0,49,62,66,2810,181,2514,115
,"City of Plymouth, MN",76996,48,1,12,14,21,1009,215,759,35
,"City of Eagan, MN",66698,40,0,11,13,16,1144,106,995,43
,"City of Eden Prairie, MN",64037,36,2,15,8,11,729,75,627,27
,Total area actually reporting,0.998,10218,77,1532,3372,5237,82192,12585,62870,6737
,Estimated total,1,10227,77,1533,3374,5243,82325,12600,62982,6743
,"Rate per 100,000 inhabitants",,287.7,2.2,43.1,94.9,147.5,2315.6,354.4,1771.6,189.7
"Missoula, MT M.S.A.",,115226, ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,71860,377,0,65,60,252,3761,401,3156,204
,Total area actually reporting,1,476,0,82,64,330,4087,504,3356,227
,"Rate per 100,000 inhabitants",,413.1,0,71.2,55.5,286.4,3546.9,437.4,2912.5,197
"Mobile, AL M.S.A.5",,414817, ,,,,, ,,,
,Includes Mobile County,,,,,,,,,,
,City of Mobile5,249921,1709,44,89,438,1138,11769,2628,8261,880
,Total area actually reporting,1,2426,61,137,604,1624,16688,4005,11299,1384
,"Rate per 100,000 inhabitants",,584.8,14.7,33,145.6,391.5,4023,965.5,2723.9,333.6
"Modesto, CA M.S.A.",,539425, ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,212880,2104,13,103,481,1507,9324,1421,6350,1553
,Total area actually reporting,1,3366,34,199,835,2298,17918,3303,11119,3496
,"Rate per 100,000 inhabitants",,624,6.3,36.9,154.8,426,3321.7,612.3,2061.3,648.1
"Monroe, LA M.S.A.",,179125, ,,,,, ,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,
,City of Monroe,49677,1493,11,52,248,1182,4646,1025,3397,224
,Total area actually reporting,0.956,2092,19,64,319,1690,8592,2179,5965,448
,Estimated total,1,2126,20,66,324,1716,8884,2229,6193,462
,"Rate per 100,000 inhabitants",,1186.9,11.2,36.8,180.9,958,4959.7,1244.4,3457.4,257.9
"Montgomery, AL M.S.A.",,372661, ,,,,, ,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
,City of Montgomery,199565,1215,30,62,448,675,8989,2293,5824,872
,Total area actually reporting,0.993,1745,44,136,528,1037,13166,3219,8761,1186
,Estimated total,1,1758,44,137,530,1047,13248,3235,8821,1192
,"Rate per 100,000 inhabitants",,471.7,11.8,36.8,142.2,281,3555,868.1,2367,319.9
"Morgantown, WV M.S.A.",,138954, ,,,,, ,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,31109,89,2,12,19,56,674,129,517,28
,Total area actually reporting,0.884,318,3,59,27,229,1684,410,1186,88
,Estimated total,1,366,3,65,34,264,2245,502,1623,120
,"Rate per 100,000 inhabitants",,263.4,2.2,46.8,24.5,190,1615.6,361.3,1168,86.4
"Mount Vernon-Anacortes, WA M.S.A.",,123317,,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,34521,88,0,16,28,44,1324,197,1014,113
,City of Anacortes,16532,15,0,1,4,10,463,65,369,29
,Total area actually reporting,1,230,6,36,54,134,4424,852,3263,309
,"Rate per 100,000 inhabitants",,186.5,4.9,29.2,43.8,108.7,3587.5,690.9,2646,250.6
"Muncie, IN M.S.A.",,116443, ,,,,, ,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,70065,252,6,29,95,122,2755,475,2083,197
,Total area actually reporting,1,304,9,37,99,159,3429,650,2533,246
,"Rate per 100,000 inhabitants",,261.1,7.7,31.8,85,136.5,2944.8,558.2,2175.3,211.3
"Muskegon, MI M.S.A.",,172890, ,,,,, ,,,
,Includes Muskegon County,,,,,,,,,,
,City of Muskegon,38442,273,5,39,62,167,1468,285,1094,89
,Total area actually reporting,1,754,9,144,142,459,5211,813,4148,250
,"Rate per 100,000 inhabitants",,436.1,5.2,83.3,82.1,265.5,3014.1,470.2,2399.2,144.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.",,444122,,,,,,,,,
,"Includes Brunswick County, NC and Horry County, SC",, ,,,,,,,,
,"City of Myrtle Beach, SC",31864,538,5,46,139,348,4395,469,3555,371
,"City of Conway, SC",21874,174,3,20,24,127,1016,138,805,73
,"City of North Myrtle Beach, SC",15945,121,2,21,28,70,1227,194,918,115
,Total area actually reporting,0.974,2015,32,313,336,1334,15950,2824,11805,1321
,Estimated total,1,2046,32,315,345,1354,16308,2892,12082,1334
,"Rate per 100,000 inhabitants",,460.7,7.2,70.9,77.7,304.9,3672,651.2,2720.4,300.4
"Napa, CA M.S.A.",,142635, ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,81115,296,1,38,47,210,1579,437,1013,129
,Total area actually reporting,1,598,1,62,72,463,2524,655,1647,222
,"Rate per 100,000 inhabitants",,419.3,0.7,43.5,50.5,324.6,1769.6,459.2,1154.7,155.6
"Naples-Immokalee-Marco Island, FL M.S.A.",,365390,,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,21917,19,3,4,3,9,408,52,339,17
,City of Marco Island,17947,2,0,1,0,1,94,13,76,5
,Total area actually reporting,1,962,10,70,169,713,4496,807,3443,246
,"Rate per 100,000 inhabitants",,263.3,2.7,19.2,46.3,195.1,1230.5,220.9,942.3,67.3
"Nashville-Davidson–Murfreesboro–Franklin, TN M.S.A.",,1863012,,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Nashville Metropolitan,668685,7371,81,464,1985,4841,24719,4545,18446,1728
,City of Murfreesboro,129730,790,6,55,152,577,3867,627,3042,198
,City of Franklin,74771,154,0,21,19,114,1085,84,968,33
,Total area actually reporting,1,11580,115,839,2435,8191,46171,8320,34747,3104
,"Rate per 100,000 inhabitants",,621.6,6.2,45,130.7,439.7,2478.3,446.6,1865.1,166.6
"New Bern, NC M.S.A.",,126088,,,,,,,,,
,"Includes Craven, Jones, and Pamlico Counties",, ,,,,,,,,
,City of New Bern,30137,124,2,7,41,74,1046,167,856,23
,Total area actually reporting,0.91,291,3,22,65,201,2797,823,1853,121
,Estimated total,1,310,3,23,69,215,3001,885,1984,132
,"Rate per 100,000 inhabitants",,245.9,2.4,18.2,54.7,170.5,2380.1,701.9,1573.5,104.7
"New Haven-Milford, CT M.S.A.2",,804612,,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,130425,1219,13,66,400,740,5492,832,3925,735
,City of Milford,53752,34,0,0,27,7,1215,126,1001,88
,Total area actually reporting,1,2597,30,185,885,1497,20370,3269,14656,2445
,"Rate per 100,000 inhabitants",,322.8,3.7,23,110,186.1,2531.7,406.3,1821.5,303.9
"New Orleans-Metairie, LA M.S.A.",,1272995,,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,397208,4249,174,537,1445,2093,15571,2561,10583,2427
,Total area actually reporting,0.997,7099,240,712,2060,4087,38082,5940,28488,3654
,Estimated total,1,7113,240,713,2062,4098,38206,5961,28585,3660
,"Rate per 100,000 inhabitants",,558.8,18.9,56,162,321.9,3001.3,468.3,2245.5,287.5
"New York-Newark-Jersey City, NY-NJ-PA M.S.A.",,20177990,,,,,,,,,
,"Includes the Metropolitan Divisions of Dutchess County-Putnam County, NY; Nassau County-Suffolk County, NY; Newark, NJ-PA; and New York-Jersey City-White Plains, NY-NJ",,,,,,,,,,
,"City of New York, NY",8566917,49124,335,2372,15544,30873,125278,12041,106868,6369
,"City of Newark, NJ",281450,2637,100,99,1334,1104,6308,1138,3048,2122
,"City of Jersey City, NJ",266179,1276,24,86,547,619,4483,953,2979,551
,"City of White Plains, NY",58767,121,0,10,30,81,931,53,854,24
,"City of New Brunswick, NJ",57158,392,1,38,211,142,1252,319,859,74
,"City of Lakewood Township, NJ",100269,169,2,12,61,94,949,193,718,38
,Total area actually reporting,0.998,71541,655,3940,24435,42511,273117,33416,221694,18007
,Estimated total,1,71614,656,3949,24456,42553,273749,33494,222225,18030
,"Rate per 100,000 inhabitants",,354.9,3.3,19.6,121.2,210.9,1356.7,166,1101.3,89.4
"Dutchess County-Putnam County, NY M.D.",,391642,,,,,,,,,
,Includes Dutchess and Putnam Counties,,,,,,,,,,
,Total area actually reporting,0.991,601,4,120,119,358,4079,565,3414,100
,Estimated total,1,607,4,121,121,361,4130,571,3457,102
,"Rate per 100,000 inhabitants",,155,1,30.9,30.9,92.2,1054.5,145.8,882.7,26
"Nassau County-Suffolk County, NY M.D.",,2849237,,,,,,,,,
,Includes Nassau and Suffolk Counties,,,,,,,,,,
,Total area actually reporting,0.988,3611,53,201,1294,2063,33727,3530,28346,1851
,Estimated total,1,3673,54,208,1312,2099,34264,3597,28797,1870
,"Rate per 100,000 inhabitants",,128.9,1.9,7.3,46,73.7,1202.6,126.2,1010.7,65.6
"Newark, NJ-PA M.D.",,2506862,,,,,,,,,
,"Includes Essex, Hunterdon, Morris, Somerset, Sussex, and Union Counties, NJ and Pike County, PA",,,,,,,,,,
,Total area actually reporting,1,7110,151,423,3365,3171,35082,6232,23658,5192
,"Rate per 100,000 inhabitants",,283.6,6,16.9,134.2,126.5,1399.4,248.6,943.7,207.1
"New York-Jersey City-White Plains, NY-NJ M.D.",,14430249,,,,,,,,,
,"Includes Bergen, Hudson, Middlesex, Monmouth, Ocean, and Passaic Counties, NJ and Bronx, Kings, New York, Orange, Queens, Richmond, Rockland, and Westchester Counties, NY",,,,,,,,,,
,Total area actually reporting,0.999,60219,447,3196,19657,36919,200229,23089,166276,10864
,Estimated total,1,60224,447,3197,19658,36922,200273,23094,166313,10866
,"Rate per 100,000 inhabitants",,417.3,3.1,22.2,136.2,255.9,1387.9,160,1152.5,75.3
"Niles-Benton Harbor, MI M.S.A.",,154139,,,,,,,,,
,Includes Berrien County,,,,,,,,,,
,City of Niles,11282,64,0,20,12,32,287,65,191,31
,City of Benton Harbor,9963,179,1,15,41,122,438,137,258,43
,Total area actually reporting,1,696,10,151,102,433,3605,772,2641,192
,"Rate per 100,000 inhabitants",,451.5,6.5,98,66.2,280.9,2338.8,500.8,1713.4,124.6
"North Port-Sarasota-Bradenton, FL M.S.A.",,784372,,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of North Port,63386,89,1,21,11,56,861,166,668,27
,City of Sarasota,55732,291,3,19,85,184,2199,314,1763,122
,City of Bradenton,55518,328,4,31,72,221,1713,325,1323,65
,City of Venice,22514,24,0,5,5,14,374,65,293,16
,Total area actually reporting,1,2678,32,241,428,1977,15870,2822,12238,810
,"Rate per 100,000 inhabitants",,341.4,4.1,30.7,54.6,252,2023.3,359.8,1560.2,103.3
"Norwich-New London, CT M.S.A.",,159068,,,,,,,,,
,Includes New London County,,,,,,,,,,
,City of Norwich,39771,121,1,15,21,84,621,152,419,50
,City of New London,27092,193,1,11,30,151,743,130,532,81
,Total area actually reporting,1,465,3,52,70,340,3278,513,2557,208
,"Rate per 100,000 inhabitants",,292.3,1.9,32.7,44,213.7,2060.8,322.5,1607.5,130.8
"Ocala, FL M.S.A.",,346358,,,,,,,,,
,Includes Marion County,, ,,,,, ,,,
,City of Ocala,58596,463,10,29,111,313,3174,443,2600,131
,Total area actually reporting,1,1174,18,90,213,853,7923,1926,5384,613
,"Rate per 100,000 inhabitants",,339,5.2,26,61.5,246.3,2287.5,556.1,1554.5,177
"Ocean City, NJ M.S.A.",,93755,,,,,,,,,
,Includes Cape May County,, ,,,,, ,,,
,City of Ocean City,11287,14,0,1,5,8,364,58,306,0
,Total area actually reporting,1,217,0,25,54,138,2830,532,2249,49
,"Rate per 100,000 inhabitants",,231.5,0,26.7,57.6,147.2,3018.5,567.4,2398.8,52.3
"Odessa, TX M.S.A.",,163843,,,,,,,,,
,Includes Ector County,, ,,,,, ,,,
,City of Odessa,123209,996,4,75,136,781,4118,791,2890,437
,Total area actually reporting,1,1169,7,98,170,894,6137,1157,4300,680
,"Rate per 100,000 inhabitants",,713.5,4.3,59.8,103.8,545.6,3745.7,706.2,2624.5,415
"Ogden-Clearfield, UT M.S.A.2",,653748,,,,,,,,,
,"Includes Box Elder, Davis, Morgan, and Weber Counties",,,,,,,,,,
,City of Ogden,85930,450,3,65,108,274,3808,614,2843,351
,City of Clearfield,30783,29,0,13,3,13,664,120,501,43
,Total area actually reporting,0.981,996,9,267,173,547,14205,2418,10807,980
,Estimated total,1,1017,9,271,178,559,14508,2467,11023,1018
,"Rate per 100,000 inhabitants",,155.6,1.4,41.5,27.2,85.5,2219.2,377.4,1686.1,155.7
"Oklahoma City, OK M.S.A.",,1372721,,,,,,,,,
